,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
155,20.23240000000003,25.880600000000026,24.218700000000016,16.923299999999983,10.060800000000002,26.108700000000013,27.39060000000003,12.967300000000007,11.442599999999986,30.520600000000027,27.83959999999997,12.770199999999996,21.426699999999993,5,June,2023
156,18.99809999999998,26.214999999999986,23.877,16.53699999999998,10.419799999999983,27.13199999999995,28.18590000000001,14.765000000000008,11.509900000000002,27.220899999999997,24.25089999999999,9.99420000000001,22.72300000000001,6,June,2023
157,17.120100000000015,25.909800000000022,19.900099999999973,16.589899999999982,8.995399999999995,27.17609999999997,22.679300000000012,15.821899999999982,14.651300000000024,26.727299999999964,24.07389999999995,11.750499999999986,21.784099999999995,7,June,2023
158,16.603800000000014,30.064000000000032,20.00469999999998,18.810299999999984,7.846199999999991,29.047700000000006,20.64929999999997,11.811300000000001,11.9703,28.138300000000005,27.008199999999974,14.585599999999976,21.516699999999982,8,June,2023
159,13.977899999999986,27.761200000000017,21.673600000000032,13.530400000000004,9.787300000000005,25.438599999999983,22.237299999999962,15.06040000000002,14.604299999999991,27.024299999999958,24.37710000000003,11.75849999999998,24.725599999999986,9,June,2023
160,10.559,28.010999999999978,25.985899999999997,10.304099999999996,13.466999999999985,23.785899999999984,17.71860000000002,19.804099999999995,16.01860000000002,26.81860000000001,27.631000000000025,10.113999999999983,25.68589999999999,10,June,2023
161,7.92829999999999,27.386699999999983,23.543400000000005,13.538599999999983,16.06709999999997,21.145399999999974,19.74059999999995,19.4746,18.238599999999956,26.959600000000023,30.657700000000037,13.925799999999992,27.203399999999974,11,June,2023
162,8.878799999999991,24.397799999999975,23.218299999999985,16.471699999999977,11.661099999999976,17.818300000000033,20.80849999999995,14.271700000000019,19.90850000000002,24.20849999999999,32.51120000000005,15.975299999999981,25.818300000000036,12,June,2023
163,8.78739999999999,22.018399999999996,22.089199999999984,18.4508,13.713799999999985,18.48919999999998,20.01850000000004,10.998800000000006,15.829499999999996,25.81950000000001,29.523600000000037,9.159199999999988,29.455200000000012,13,June,2023
164,9.328599999999991,20.827400000000033,20.040199999999974,15.751799999999985,12.214400000000003,21.900199999999995,19.53730000000002,10.47980000000001,15.148300000000027,26.782299999999974,29.270400000000024,8.980599999999985,30.614199999999947,14,June,2023
165,9.9411,21.354300000000013,19.891799999999975,16.81620000000001,10.263999999999992,20.60379999999998,17.986100000000025,10.5402,16.272100000000034,26.324099999999994,29.49190000000002,10.230000000000002,30.740799999999957,15,June,2023
166,6.6020000000000065,22.831799999999983,17.72609999999999,16.664899999999985,8.225999999999997,23.995100000000022,18.129899999999978,10.46590000000001,19.21790000000001,27.261899999999997,25.999000000000027,10.020799999999994,24.745100000000026,16,June,2023
167,7.397600000000003,24.269200000000005,19.65989999999998,10.523099999999985,7.456500000000006,26.51089999999999,12.453899999999999,12.3051,15.729900000000018,28.305899999999994,26.363399999999974,8.266300000000006,25.97189999999999,17,June,2023
168,6.014300000000003,23.88639999999999,21.580599999999986,10.758399999999993,7.565599999999994,24.273599999999988,14.054199999999971,14.61940000000002,14.866200000000013,27.211199999999995,26.89970000000001,10.266300000000015,23.734599999999986,18,June,2023
169,7.030099999999993,25.21080000000001,18.55210000000001,9.222899999999992,7.509400000000005,25.097100000000008,17.134699999999967,11.367899999999985,14.666699999999985,27.40769999999999,28.98789999999998,12.168200000000002,23.466100000000004,19,June,2023
170,11.41659999999999,26.36030000000001,16.82979999999998,9.760200000000003,9.514500000000009,22.029799999999973,17.30449999999999,12.960200000000016,13.504500000000016,28.104499999999963,25.27339999999999,14.651499999999976,21.829799999999977,20,June,2023
171,10.792299999999996,25.589700000000004,22.490299999999976,8.099699999999988,12.574199999999983,19.290299999999966,15.694299999999991,13.099699999999977,12.99429999999998,25.894299999999983,21.997700000000027,15.873800000000003,22.1903,21,June,2023
172,8.943699999999989,27.134399999999964,28.567599999999953,8.160400000000008,14.936599999999991,20.120599999999975,17.412700000000022,12.467400000000014,11.742699999999989,24.741699999999987,21.76730000000002,16.736300000000025,22.822599999999994,22,June,2023
173,8.730099999999991,27.044,21.890399999999982,12.599600000000024,15.913300000000007,22.990400000000033,14.80690000000003,11.399600000000012,13.606899999999998,25.20690000000002,25.65989999999996,12.140699999999987,23.0904,23,June,2023
174,8.595000000000008,24.688799999999972,21.225400000000022,16.164600000000018,16.21560000000001,21.72540000000002,16.161900000000013,12.964599999999985,15.161900000000013,26.36189999999998,28.595000000000024,16.77120000000003,24.7254,24,June,2023
175,8.793499999999996,26.72140000000003,22.028499999999962,18.469500000000025,17.668400000000023,22.480499999999992,16.22790000000003,12.133499999999993,14.199899999999982,27.26790000000004,34.20050000000005,21.92260000000003,26.528499999999944,25,June,2023
176,8.436200000000012,28.326400000000017,24.424399999999995,18.365599999999986,16.050199999999997,22.204400000000025,16.00880000000003,12.717600000000019,12.64880000000001,27.40480000000001,33.42180000000004,19.611999999999973,28.92440000000001,26,June,2023
177,6.1175,28.688199999999988,25.881600000000013,19.412399999999966,13.679299999999994,21.982600000000005,16.69820000000003,14.164399999999992,13.484200000000026,26.753200000000007,32.90450000000005,16.7428,30.381600000000038,27,June,2023
178,3.5252000000000034,27.58059999999999,24.90170000000005,15.738300000000015,10.485999999999985,27.137699999999985,18.0691,16.4783,12.691099999999999,26.0881,32.49179999999996,19.52800000000003,31.777700000000024,28,June,2023
179,8.209299999999995,30.566700000000036,18.894899999999975,14.195100000000007,10.896100000000006,27.49490000000003,18.565999999999963,17.495099999999976,14.065999999999981,28.16600000000002,29.380699999999983,24.552900000000026,29.094899999999974,29,June,2023
180,12.444900000000017,28.860000000000035,14.767199999999995,12.211799999999984,12.373200000000011,24.822199999999956,20.78309999999996,18.80980000000001,17.35010000000002,29.41310000000002,31.062099999999937,24.19279999999998,28.265199999999954,30,June,2023
181,15.411599999999979,30.989799999999978,20.42220000000002,13.376800000000005,11.50839999999999,26.20519999999999,19.91710000000002,15.337800000000009,17.487100000000023,29.702100000000005,30.015399999999946,11.674399999999984,27.16519999999999,1,July,2023
182,13.8026,30.27170000000003,24.48539999999998,13.558599999999998,10.788400000000008,28.03939999999999,20.563300000000027,15.07859999999999,14.096299999999987,29.284299999999966,29.29340000000003,11.373499999999995,22.79339999999997,2,July,2023
183,12.895599999999995,30.818900000000035,26.08849999999997,15.600500000000006,10.894500000000003,27.377500000000005,20.634100000000025,15.90550000000002,14.027099999999983,30.25009999999997,25.8654,11.697299999999984,24.811499999999988,3,July,2023
184,12.18640000000001,29.222900000000028,28.596300000000046,13.0197,13.383699999999994,26.904299999999992,20.844399999999997,18.507700000000014,14.492400000000002,29.59639999999997,21.371600000000008,16.22470000000003,28.680299999999953,4,July,2023
185,12.373099999999997,29.17430000000006,29.149900000000063,12.880100000000017,13.299099999999985,28.10189999999997,21.36880000000001,19.5641,14.372799999999984,28.188799999999972,20.81690000000003,16.912400000000034,29.04989999999996,5,July,2023
186,13.366499999999998,28.07470000000005,28.97530000000003,14.68370000000002,13.051699999999988,25.877299999999988,22.720900000000032,18.105699999999995,15.1829,28.05889999999999,21.015500000000024,16.96510000000001,29.471299999999975,6,July,2023
187,14.92420000000001,28.25690000000002,26.164999999999978,14.253999999999994,14.07230000000002,25.928999999999963,26.51700000000003,16.07500000000002,17.021000000000026,27.371999999999993,22.447799999999994,14.45969999999999,30.70099999999997,7,July,2023
188,14.335999999999986,29.13350000000001,24.376700000000014,15.490300000000017,15.023500000000027,26.127699999999955,26.27830000000001,16.61430000000002,17.903300000000005,26.431300000000036,21.938,13.223499999999978,31.758699999999934,8,July,2023
189,15.310199999999984,30.0875,22.206500000000016,16.99950000000001,15.92850000000001,25.678499999999996,25.546499999999988,17.515499999999985,15.794499999999976,26.99050000000002,23.907800000000005,15.89649999999997,29.06249999999995,9,July,2023
190,14.897099999999998,28.14489999999996,21.9833,16.220699999999987,16.463600000000003,24.09030000000002,18.905700000000028,22.32270000000001,16.08769999999997,27.817699999999967,25.780899999999992,16.45379999999999,25.302299999999995,10,July,2023
191,10.9923,29.664699999999947,22.444200000000013,17.10380000000002,16.813199999999988,25.223200000000016,20.47359999999996,23.39780000000001,15.927599999999993,30.537600000000026,28.533700000000007,19.10279999999997,27.587200000000003,11,July,2023
192,15.682799999999977,28.71519999999995,15.324099999999982,15.905899999999988,16.673600000000008,26.799099999999964,22.110099999999992,23.478900000000024,22.855099999999947,32.77109999999999,26.980200000000046,17.01479999999998,28.12710000000003,12,July,2023
193,15.445199999999998,30.821500000000004,15.611200000000006,19.578800000000026,17.509100000000004,24.611200000000007,23.90630000000003,24.478799999999993,19.206300000000024,30.706299999999956,24.54480000000001,21.219900000000035,28.71119999999995,13,July,2023
194,16.589500000000026,28.82969999999997,21.679200000000037,17.581799999999998,15.402700000000017,27.304199999999977,27.049100000000063,20.11879999999997,15.103099999999984,31.917099999999962,26.542500000000036,24.816300000000034,28.527200000000008,14,July,2023
195,16.89739999999999,28.918500000000005,22.882900000000014,20.565100000000026,14.805699999999987,26.53289999999997,26.682300000000065,22.391100000000034,16.47430000000001,33.44630000000001,26.708599999999965,25.0603,26.886900000000004,15,July,2023
196,13.824799999999989,29.536700000000007,26.596599999999988,14.509399999999987,14.65870000000001,28.792600000000007,25.712999999999997,22.977399999999975,17.649000000000015,32.30499999999999,29.273199999999974,20.768300000000004,27.78059999999998,16,July,2023
197,13.540299999999993,31.698099999999982,26.281,16.514999999999983,14.349600000000017,28.866999999999983,24.596899999999984,24.852999999999987,17.897900000000032,31.968900000000023,28.777700000000003,20.018200000000025,27.39999999999996,17,July,2023
198,14.082500000000028,31.203399999999952,22.07129999999997,18.64470000000003,14.725500000000006,29.12729999999998,25.254399999999954,20.014700000000015,18.1624,30.577400000000054,29.591500000000007,18.48489999999997,27.72530000000004,18,July,2023
199,13.789300000000003,32.62439999999995,18.61199999999999,16.80599999999998,14.872799999999982,28.440000000000012,26.93259999999995,17.553999999999984,15.940599999999977,29.940599999999947,24.9087,23.909499999999998,27.051999999999968,19,July,2023
200,12.477999999999993,29.735299999999967,15.549400000000022,15.815599999999968,15.370299999999979,28.506400000000028,27.368099999999995,17.730599999999992,16.622099999999964,30.58609999999996,26.38800000000002,28.704600000000024,27.217399999999962,20,July,2023
201,13.452299999999989,29.516300000000005,15.638699999999982,18.10129999999999,16.164699999999986,30.400700000000008,26.351599999999998,20.491300000000027,17.315599999999968,30.139599999999977,24.653700000000008,28.594800000000006,23.126700000000024,21,July,2023
202,13.284100000000008,30.51409999999997,20.309700000000007,16.97529999999999,16.200899999999994,31.864699999999992,26.313899999999986,23.095300000000012,16.223899999999972,33.11889999999993,24.921000000000006,22.94210000000001,22.444699999999994,22,July,2023
203,13.086500000000001,31.696599999999954,21.3015,17.497499999999977,16.737900000000007,32.21849999999995,26.704999999999988,21.173499999999976,16.170999999999992,34.051999999999936,24.53850000000002,22.056100000000004,23.23249999999999,23,July,2023
204,14.578400000000006,30.23159999999996,22.208799999999982,17.016199999999976,14.953599999999996,31.179800000000004,26.87240000000003,20.05819999999997,16.90640000000001,33.09339999999995,24.803600000000028,21.03239999999997,23.15279999999999,24,July,2023
205,14.008500000000002,33.82830000000002,18.287499999999977,17.66849999999998,13.549099999999996,29.946500000000047,26.82520000000003,14.980499999999985,18.78620000000004,34.76820000000006,28.270500000000013,14.828799999999983,24.777499999999964,25,July,2023
206,16.876599999999986,33.71550000000006,17.39800000000002,17.829999999999984,13.119299999999988,29.31400000000001,28.794000000000015,15.15399999999998,17.013999999999985,33.540000000000006,29.093400000000017,13.567699999999991,24.936,26,July,2023
207,18.72300000000004,31.115100000000005,15.52769999999999,17.96730000000002,11.9499,29.414700000000053,29.63410000000002,16.485300000000016,14.90310000000003,30.614099999999986,25.37199999999996,14.59699999999999,25.160699999999967,27,July,2023
208,18.680199999999985,26.93540000000003,14.685699999999988,18.324299999999997,12.765200000000002,28.90370000000004,29.734400000000015,17.568300000000026,16.636400000000027,32.49240000000001,23.679799999999968,17.06509999999999,24.14169999999996,28,July,2023
209,19.325400000000005,30.267100000000017,17.06039999999998,17.953600000000016,13.15210000000002,29.77640000000003,28.41679999999998,15.32560000000002,17.324800000000028,32.321800000000046,23.673600000000018,18.399600000000014,23.571400000000022,29,July,2023
210,20.76840000000002,30.76580000000004,20.188099999999974,16.593899999999973,13.77330000000002,29.40910000000006,28.605900000000005,15.199899999999989,18.94490000000003,32.76190000000001,24.90160000000002,19.724599999999995,24.23110000000005,30,July,2023
211,20.08230000000002,31.800000000000004,24.555599999999984,18.41039999999997,13.76579999999999,28.945599999999978,30.85719999999997,17.994400000000027,18.615199999999962,34.07720000000003,25.615700000000015,18.42609999999999,23.94559999999997,31,July,2023
212,16.38850000000002,33.19520000000001,22.53869999999998,15.846299999999996,13.403799999999995,31.821699999999993,27.66820000000001,18.87830000000001,19.92220000000001,35.27020000000003,24.496500000000015,14.531099999999986,26.61369999999998,1,August,2023
213,17.19990000000003,33.27389999999996,21.293999999999986,15.375999999999987,13.160199999999989,32.58600000000003,27.208900000000025,19.584000000000024,20.834899999999998,34.76190000000003,25.15510000000002,14.69679999999998,26.83899999999999,2,August,2023
214,16.14240000000002,31.012599999999967,20.90549999999998,16.289500000000004,11.99280000000001,31.966500000000032,28.14740000000004,18.64949999999998,20.177400000000013,36.18339999999999,26.086600000000022,14.66400000000001,22.628499999999995,3,August,2023
