,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
61,-6.247529,12.16242,-7.7106776,-0.85964257,-4.2908907,2.8359728,7.36415,-2.1826258,-4.6907954,20.095741,-8.108442,-2.6484673,3.6355517,3,March,2023
62,-7.7673597,15.146294,-9.532517,-0.8743974,-6.186075,4.749186,7.0931153,-3.7776313,-9.016401,19.402763,-6.446468,0.98995745,3.8810675,4,March,2023
63,-6.2454724,14.562048,-8.867037,-1.0819848,-7.701222,4.473823,6.293097,-4.8759017,-7.01795,16.72221,-8.2291155,-0.35820308,-0.8856244,5,March,2023
64,-8.717394,9.535654,-6.767977,-2.5619192,-7.590889,5.476649,5.68649,-7.5971785,-3.9875734,18.33866,-10.084106,-5.668991,-0.8278786,6,March,2023
65,-7.980601,9.848705,-3.84235,-5.9478145,-6.7341833,7.9957056,8.384673,-8.182916,-6.009213,13.808443,-12.555876,-11.199389,5.579236,7,March,2023
66,-3.8793826,7.6766562,-1.9649215,-4.060456,-8.4649,5.908315,8.963091,-10.7668705,-9.962442,13.154079,-10.106639,-5.717043,7.8777003,8,March,2023
67,-3.4640424,7.8315306,-4.427183,0.135655,-11.780286,5.0361915,9.799521,-4.047494,-12.49241,14.804458,-9.498384,0.48064348,3.153355,9,March,2023
68,-1.106657,8.826076,-6.2886405,-0.87605757,-13.02173,6.7166934,11.471038,-5.873286,-13.5394945,9.157389,-9.886699,0.5288821,8.902249,10,March,2023
69,-0.85812813,11.0936,-6.4039273,-5.483865,-11.754671,8.677141,8.52444,-6.35273,-14.417832,9.378155,-5.0449576,-1.397437,10.8649,11,March,2023
70,-2.861004,10.060899,-0.97715133,-6.9070106,-10.210077,2.4149365,8.581513,-3.2680907,-14.293519,10.064642,-2.2990673,0.78501356,9.154741,12,March,2023
71,-1.2228558,8.829856,1.0928798,-6.7089186,-7.083166,2.9883287,9.169314,-2.369209,-14.92279,10.625757,-5.6890736,0.032832272,4.809419,13,March,2023
72,-0.32319728,10.537731,1.4892234,-6.6542335,-4.988102,4.5463514,8.014197,-2.3167293,-14.108749,13.084845,-5.647872,-0.042087633,8.989543,14,March,2023
73,-1.362221,10.429913,1.5677446,-3.7601764,-5.4912047,2.485687,5.9675245,-3.3044436,-12.740781,14.16582,-5.3330097,2.66506,12.475862,15,March,2023
74,-2.803074,9.044925,1.5197322,-1.7703899,-5.705252,1.8442988,2.9458802,-2.8942542,-9.0124035,13.830261,-5.5352516,-0.14060423,10.651466,16,March,2023
75,-6.262284,9.7822695,4.04875,-2.093523,-5.6195292,2.1347644,0.77745825,-2.0796494,-11.001905,12.389059,-5.686515,-1.7622247,4.01742,17,March,2023
76,-7.796865,10.564987,1.9703625,-2.9266422,-4.8475437,6.7080398,0.6130104,1.1776639,-12.55485,14.196052,-4.4478703,-1.2988423,2.0657642,18,March,2023
77,-7.893666,13.0840435,0.22867203,-3.1590192,-4.8301663,8.991683,1.7800606,5.7172456,-14.105719,13.653386,-3.3466964,2.8999655,3.4396484,19,March,2023
78,-9.452606,11.69274,1.0907547,-2.2090561,-5.3975816,8.691415,1.0475038,5.556777,-5.7907085,15.102663,-3.620544,3.7504153,8.964857,20,March,2023
79,-9.127605,11.7437525,-0.3844369,-1.7548652,-5.4778175,8.592164,9.929494,5.877626,-10.648382,15.375047,-2.8206866,5.6301217,8.786042,21,March,2023
80,2.0407484,12.966526,-0.83943963,-2.5084774,-4.110822,8.875133,10.054098,-0.27656063,-2.50708,13.857222,-1.9122556,2.354218,9.338619,22,March,2023
81,4.16008,14.950322,2.4290373,-2.019396,-4.382665,9.4867115,8.179196,1.8856437,1.4087838,15.891086,0.10418002,2.3927794,8.340654,23,March,2023
82,4.985108,17.920458,2.0133405,0.23087336,-6.2632127,8.605782,9.093453,1.5826697,2.053361,17.463255,0.3876657,1.3432549,-0.11330693,24,March,2023
83,4.494578,13.89473,2.231705,-1.4573147,-7.149987,8.545953,9.293435,4.9457355,-3.763156,19.792995,-3.091309,1.8600979,-1.6503978,25,March,2023
84,0.116572894,13.628565,3.2096286,-1.8709128,-8.317578,7.1519866,7.975084,10.507109,-3.8751073,19.802574,-3.397976,-0.44567922,-1.2867751,26,March,2023
85,-1.98759,15.050829,2.559701,-0.15351127,-7.50534,4.779505,7.962486,5.5075045,-1.9833641,16.700817,-3.55472,-0.8758045,-0.021972625,27,March,2023
86,-4.8428793,19.50731,2.4149556,-0.027733693,-6.0239887,7.444928,7.532564,3.991866,-1.7936586,15.493243,-2.0171888,-1.1401864,0.039702464,28,March,2023
87,-7.1461883,20.46981,2.6398106,-1.1130878,-4.773669,7.7737656,6.7478094,4.534283,-5.493569,8.330505,0.71183497,1.3934468,-0.21535407,29,March,2023
88,-4.144561,18.046589,3.77449,-2.0482578,-1.9830016,8.507476,7.1119246,4.0572796,-8.629999,7.4083624,4.4354267,0.8399485,2.368665,30,March,2023
89,-3.674952,20.066656,1.5973516,-1.1225024,-1.7046753,8.570106,5.420489,10.320181,-9.733753,12.095692,6.4273887,5.3362937,9.035191,31,March,2023
90,-6.2028894,20.121813,4.1943665,-0.2554665,-1.9980121,7.136615,5.334387,4.5819287,-7.404688,13.989378,4.1389303,-2.2784877,14.03635,1,April,2023
91,-6.269191,15.374579,4.6628776,1.8036754,-2.4934857,8.820164,4.527575,2.972978,-6.756907,10.673072,0.19417155,-4.694299,12.38797,2,April,2023
92,-5.1833363,12.815131,1.3142314,4.861935,-2.5424242,12.820662,6.5945663,2.0079958,-5.8619294,10.668674,2.4555626,-1.7415633,13.655898,3,April,2023
